xpath,2009v1.0,2009v1.1,2009v1.2,2009v1.3,2009v1.4,2009v1.7,2010v3.2,2010v3.4,2010v3.6,2010v3.7,2011v1.2,2011v1.3,2011v1.4,2011v1.5,2012v2.0,2012v2.1,2012v2.2,2012v2.3,2012v3.0,2013v3.0,2013v3.1,2013v4.0,2014v5.0,2014v6.0,2015v2.0,2015v2.1
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/@DOCUMENTID,,,X 21,X 322,X 254,X 1039,X 11993,X 5602,X 62,X 594,G 20428,X 643,,X 5100,X 19383,G 17982,X 2123,X 5432,X 204,X 43569,G 14083,X 17269,G 30004,X 23208,X 58563,X 8227
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/@SOFTWAREID,,,,X 62,X 19,X 156,X 2754,X 173,,,G 3461,,,X 1421,X 15404,G 31,X 2000,,X 53,,G 5008,X 3902,G 5747,X 5374,X 35640,G 708
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/@SOFTWAREVERSION,,,,X 62,X 19,X 156,X 2731,X 173,,,G 3436,,,X 1421,X 15404,,X 2000,,X 53,,G 4981,X 3887,,,,
/RETURN/RETURNDATA/ACCOUNTINGFEESSCHEDULE/@SOFTWAREVERSIONNUM,,,,,,,,,,,,,,,,,,,,,,,G 5719,X 5350,X 35640,G 675
/RETURN/RETURNDATA/ACTYNOTPREVIOUSLYRPTEXPLN/@DOCUMENTID,,,,,X 1,X 1,X 12,X 10,,,X 41,X 2,,X 3,X 14,X 21,X 17,X 19,,X 36,X 88,X 5,X 195,X 25,X 28,X 278
/RETURN/RETURNDATA/ACTYNOTPREVIOUSLYRPTEXPLN/EXPLANATION,,,,,X 1,X 1,X 12,X 8,,,X 41,X 2,,X 3,X 14,X 21,X 17,X 19,,,,,,,,
/RETURN/RETURNDATA/ACTYNOTPREVIOUSLYRPTEXPLN/EXPLANATIONTXT,,,,,,,,,,,,,,,,,,,,X 36,X 80,X 5,X 195,X 25,X 28,X 258
/RETURN/RETURNDATA/ACTYNOTPREVIOUSLYRPTEXPLN/@SOFTWAREID,,,,,X 1,,X 3,,,,X 10,,,,X 14,,X 17,,,,X 28,X 5,X 66,X 6,X 28,X 61
/RETURN/RETURNDATA/ACTYNOTPREVIOUSLYRPTEXPLN/@SOFTWAREVERSION,,,,,X 1,,X 3,,,,X 10,,,,X 14,,X 17,,,,X 28,X 5,,,,
/RETURN/RETURNDATA/ACTYNOTPREVIOUSLYRPTEXPLN/@SOFTWAREVERSIONNUM,,,,,,,,,,,,,,,,,,,,,,,X 66,X 6,X 28,X 61
/RETURN/RETURNDATA/AFFILIATEDGROUPATTACHMENT/@DOCUMENTID,,,,,,X 13,X 1,X 4,,X 16,X 21,X 2,,X 52,,X 48,,X 44,,X 32,X 4,X 80,X 53,X 72,,X 40
/RETURN/RETURNDATA/AFFILIATEDGROUPATTACHMENT/EXPLANATION,,,,,,X 11,X 1,X 4,,X 16,X 21,X 2,,X 52,,X 48,,X 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPATTACHMENT/MEDUIMEXPLANATIONTXT,,,,,,,,,,,,,,,,,,,,X 32,X 4,X 70,X 53,X 72,,X 33
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/ADDRESSUS/ADDRESSLINE1,,,,,G 28,G 327,G 25,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/ADDRESSUS/ADDRESSLINE2,,,,,,G 1,,G 1,,,,,,G 1,,G 1,,,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/ADDRESSUS/CITY,,,,,G 28,G 327,G 25,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/ADDRESSUS/STATE,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/ADDRESSUS/ZIPCODE,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/BUSINESSNAME/BUSINESSNAMELINE1,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/EIN,,,,,G 28,G 327,G 25,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/ELECTINGORG,,,,,G 6,G 61,G 3,G 49,,G 111,G 53,,,G 113,,G 84,G 5,G 184,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/GRASSROOTSNONTAXABLEAMOUNT,,,,,G 28,G 327,G 25,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/BUSINESSNAME/BUSINESSNAMELINE1,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/BUSINESSNAME/BUSINESSNAMELINE1TXT,,,,,,,,,,,,,,,,,,,,,,,G 179,G 506,,G 147
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/BUSINESSNAME/BUSINESSNAMELINE2,,,,,,,,,,,,,,,,,,,,,,G 1,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/EIN,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/ELECTINGORGANIZATIONIND,,,,,,,,,,,,,,,,,,,,G 30,G 8,G 174,G 33,G 178,,G 68
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/GRASSROOTSNONTXAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 2,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/LOBBYNONTXAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/OTHEREXEMPTPURPOSEEXPENDAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/SHAREEXCESSLOBBYEXPENDAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/TOTALDIRECTLOBBYAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 179,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/TOTALEXEMPTPURPOSEEXPENDAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/TOTALGRASSROOTSLOBBYAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/TOTALLOBBYEXPENDITUREAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/TOTALLOBBYGRSSROOTMNSNONTXAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/TOTLBBYEXPENDMNSLOBBYNONTXAMT,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,G 196,G 506,,G 147
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/ADDRESSLINE1,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/ADDRESSLINE1TXT,,,,,,,,,,,,,,,,,,,,,,,G 196,G 2,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/ADDRESSLINE2,,,,,,,,,,,,,,,,,,,,,,G 2,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/ADDRESSLINE2TXT,,,,,,,,,,,,,,,,,,,,,,,,G 11,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/CITY,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/CITYNM,,,,,,,,,,,,,,,,,,,,,,,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/STATE,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/STATEABBREVIATIONCD,,,,,,,,,,,,,,,,,,,,,,,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/ZIPCD,,,,,,,,,,,,,,,,,,,,,,,G 196,G 506,,G 149
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULEGRP/USADDRESS/ZIPCODE,,,,,,,,,,,,,,,,,,,,G 142,G 75,G 435,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/LOBBYINGNONTAXABLEAMOUNT,,,,,G 28,G 327,G 25,G 337,,G 181,G 34,G 4,,G 353,,G 345,G 4,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/OTHEREXEMPTPURPOSEEXPENDITURES,,,,,G 28,G 327,G 8,G 337,,G 181,G 34,G 4,,G 353,,G 345,G 4,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/SHAREOFEXCESSLOBBYINGEXPENDTRS,,,,,G 28,G 327,G 25,X 2,,G 181,G 34,G 4,,G 353,,G 244,G 4,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/TOTALDIRECTLOBBYING,,,,,G 28,G 327,G 25,G 337,,G 181,G 34,G 4,,G 353,,G 244,G 4,G 369,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/TOTALEXEMPTPURPOSEEXPENDITURES,,,,,G 28,G 327,G 25,X 2,,G 181,G 34,G 4,,G 353,,G 345,G 4,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/TOTALGRASSROOTSLOBBYING,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/TOTALLOBBYINGEXPENDITURES,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/TOTLOBBYEXPENDMNSLOBBYINGNONTX,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/AFFILIATEDSCHEDULE/TOTLOBBYINGGRASSROOTMINUSNONTX,,,,,G 28,G 327,G 8,G 216,,G 181,G 197,G 4,,G 353,,G 345,G 41,G 375,,,,,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/@DOCUMENTID,,,,,X 8,X 50,X 8,X 97,,X 50,X 93,X 4,,X 165,,X 253,X 22,X 163,,X 96,X 60,X 420,X 220,X 529,,X 355
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/@SOFTWAREID,,,,,X 5,,X 1,X 7,,,X 17,,,,,X 16,X 22,,,,X 28,X 20,X 40,X 36,,X 56
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/@SOFTWAREVERSION,,,,,X 5,,X 1,X 7,,,X 17,,,,,X 16,X 22,,,,X 28,X 20,,,,
/RETURN/RETURNDATA/AFFILIATEDGROUPSCHEDULE/@SOFTWAREVERSIONNUM,,,,,,,,,,,,,,,,,,,,,,,X 40,X 36,,X 56
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/ADDRESSUS/ADDRESSLINE1,,,G 5,X 1,X 1,G 253,G 210,G 480,,G 43,G 859,G 10,,G 407,G 65,G 1048,G 47,G 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/ADDRESSUS/ADDRESSLINE2,,,,,,,G 71,G 269,,,G 274,,,G 1,G 10,G 32,,,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/ADDRESSUS/CITY,,,G 5,X 1,X 1,G 253,X 1,G 1377,,G 43,G 859,G 10,,G 4,G 65,G 1048,G 22,G 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/ADDRESSUS/STATE,,,G 5,X 1,X 1,G 253,G 210,G 1377,,G 43,G 859,G 10,,G 407,G 65,G 1048,G 22,G 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/ADDRESSUS/ZIPCODE,,,G 5,X 1,X 1,G 253,G 210,G 480,,G 43,G 859,G 10,,G 407,G 65,G 1048,G 47,G 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/EIN,,,G 5,X 1,X 1,G 253,X 1,G 1377,,G 43,G 859,G 10,,G 407,G 10,G 593,G 47,G 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/BUSINESSNAME/BUSINESSNAMELINE1,,,,,,,,,,,,,,,,,,,,G 261,G 538,G 271,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/BUSINESSNAME/BUSINESSNAMELINE1TXT,,,,,,,,,,,,,,,,,,,,,,,G 996,G 565,G 85,G 1052
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/BUSINESSNAME/BUSINESSNAMELINE2,,,,,,,,,,,,,,,,,,,,,G 125,G 9,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/BUSINESSNAME/BUSINESSNAMELINE2TXT,,,,,,,,,,,,,,,,,,,,,,,G 263,G 2,,G 108
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/BUSINESSNAMECONTROLTXT,,,,,,,,,,,,,,,,,,,,G 261,G 538,G 271,G 996,G 565,G 85,G 1052
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/EIN,,,,,,,,,,,,,,,,,,,,G 261,G 538,G 271,G 996,G 565,G 85,G 1052
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/ADDRESSLINE1,,,,,,,,,,,,,,,,,,,,G 261,G 537,G 271,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/ADDRESSLINE1TXT,,,,,,,,,,,,,,,,,,,,,,,G 995,G 550,G 85,G 786
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/ADDRESSLINE2,,,,,,,,,,,,,,,,,,,,G 28,G 10,G 1,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/ADDRESSLINE2TXT,,,,,,,,,,,,,,,,,,,,,,,G 14,G 4,,G 19
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/CITY,,,,,,,,,,,,,,,,,,,,G 261,G 537,G 271,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/CITYNM,,,,,,,,,,,,,,,,,,,,,,,G 995,G 550,G 85,G 1052
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/STATE,,,,,,,,,,,,,,,,,,,,G 261,G 537,G 271,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/STATEABBREVIATIONCD,,,,,,,,,,,,,,,,,,,,,,,G 995,G 550,G 85,G 1052
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/ZIPCD,,,,,,,,,,,,,,,,,,,,,,,G 995,G 550,G 85,G 1052
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATELISTINGGRP/USADDRESS/ZIPCODE,,,,,,,,,,,,,,,,,,,,G 261,G 537,G 271,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/NAME/BUSINESSNAMELINE1,,,G 5,X 1,X 1,G 253,X 1,G 1377,,G 43,G 859,G 10,,G 407,G 10,G 1048,G 47,G 33,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/NAME/BUSINESSNAMELINE2,,,,,,G 1,G 80,G 1,,G 5,G 107,G 7,,G 2,,G 130,,G 3,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/AFFILIATE/NAMECONTROL,,,G 5,X 1,X 1,G 253,X 1,G 1377,,G 43,G 859,G 10,,G 407,G 10,G 593,G 47,G 44,,,,,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/@DOCUMENTID,,,X 1,X 1,X 1,X 19,X 15,X 61,,X 22,X 118,X 4,,X 70,X 25,X 214,X 30,X 45,,X 132,X 164,X 130,X 462,X 204,X 42,X 513
/RETURN/RETURNDATA/AFFILIATELISTING/@SOFTWAREID,,,,,,,X 3,X 2,,,X 18,,,,X 16,,X 27,,,X 4,X 36,X 10,X 73,X 12,X 42,X 39
/RETURN/RETURNDATA/AFFILIATELISTING/@SOFTWAREVERSION,,,,,,,X 3,X 2,,,X 18,,,,X 16,,X 27,,,X 4,X 36,X 10,,,,
/RETURN/RETURNDATA/AFFILIATELISTING/@SOFTWAREVERSIONNUM,,,,,,,,,,,,,,,,,,,,,,,X 73,X 12,X 42,X 39
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/ALLOTHERPROGRAMRELATEDINVSTGRP/AMT,,,,,,,,,,,,,,,,,,,,G 2438,G 40,G 12,G 827,G 101,G 30,G 312
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/ALLOTHERPROGRAMRELATEDINVSTGRP/DESC,,,,,,,,,,,,,,,,,,,,G 2439,G 614,G 282,G 1461,G 201,G 30,G 1511
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/ALLOTHPROGRLTDINVESTMENTS/AMOUNT,,,X 1,X 21,X 57,G 134,G 1023,G 374,,G 9,X 5,X 8,,G 76,G 197,G 588,X 7,G 24,G 3,,,,,,,
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/ALLOTHPROGRLTDINVESTMENTS/DESCRIPTION,,,X 1,X 25,X 58,G 156,X 14,X 172,,G 49,G 2484,X 202,,G 150,G 327,G 2501,X 77,G 121,G 3,,,,,,,
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/@DOCUMENTID,,,X 1,X 25,X 58,X 150,X 1258,X 606,,X 88,X 5030,X 202,,X 456,X 1024,X 8086,X 77,X 465,X 10,X 9624,X 2396,X 1419,X 7293,X 1188,X 34,X 9094
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/@SOFTWAREID,,,,,,,X 7,X 5,,,X 61,,,,,,X 73,,,,X 92,X 5,X 129,X 19,X 34,X 160
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/@SOFTWAREVERSION,,,,,,,X 7,X 5,,,X 61,,,,,,X 73,,,,X 92,X 5,,,,
/RETURN/RETURNDATA/ALLOTHPROGRLTDINVESTMENTSSCH/@SOFTWAREVERSIONNUM,,,,,,,,,,,,,,,,,,,,,,,X 129,X 19,X 34,X 160
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/ADJUSTEDNETINCOME,,,,,G 2,G 9,G 19,G 15,,,G 110,,,G 13,,G 89,,G 3,,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/AMORTIZATIONPERIOD,,,G 2,X 3,G 7,X 1,G 116,G 162,,X 2,G 23,G 16,,G 53,G 91,G 183,X 2,G 17,,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/AMOUNTAMORTIZED,,,G 2,X 3,G 7,X 1,G 40,G 163,,G 9,G 295,G 17,,G 19,G 98,G 369,G 14,G 25,,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/CURRENTYEARAMORTIZATION,,,G 2,X 3,G 7,X 1,G 40,G 107,,X 2,G 3,G 2,,G 16,G 98,G 290,G 10,G 22,X 5,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/DATEACQUIREDCOMPLETEDEXPENDED,,,G 2,X 3,G 7,G 44,G 138,G 24,,G 9,G 4,G 17,,G 70,G 98,G 368,G 13,G 24,,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/DEDUCTIONFORPRIORYEARS,,,G 2,X 3,G 7,X 1,G 37,G 19,,G 8,G 4,G 15,,G 70,G 80,G 333,G 14,G 27,X 5,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/DESCRIPTIONOFAMORTIZEDEXPENSES,,,G 2,X 3,G 7,G 46,G 40,G 168,,X 2,G 308,G 17,,G 71,G 98,G 381,G 14,G 29,X 5,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATION/NETINVESTMENTINCOME,,,,,G 6,G 10,G 47,G 139,,,G 162,,,G 13,,G 323,,G 2,X 5,,,,,,,
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATIONSCHEDULEDETAIL/ACQUIREDCOMPLETEDOREXPENDEDDT,,,,,,,,,,,,,,,,,,,,G 246,G 238,X 7,G 273,G 6,G 118,G 575
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATIONSCHEDULEDETAIL/ADJUSTEDNETINCOMEAMT,,,,,,,,,,,,,,,,,,,,G 129,G 69,G 31,G 237,G 21,,G 169
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATIONSCHEDULEDETAIL/AMORTIZATIONPERIODRT,,,,,,,,,,,,,,,,,,,,G 246,G 226,G 140,G 592,G 6,G 108,G 571
/RETURN/RETURNDATA/AMORTIZATIONSCHEDULE/AMORTIZATIONSCHEDULEDETAIL/AMORTIZEDAMT,,,,,,,,,,,,,,,,,,,,G 246,G 240,G 142,G 612,G 155,G 118,G 576
